areaWithType,square_feet,transaction,status,floor,furnishing,facing,price_per_sqft,price
4,750.0,30,Ready to Move,1 out of 5,Semi-Furnished,2,2667.0,2000000.0
4,466.0,30,Ready to Move,1 out of 5,Semi-Furnished,Freehold,2253.0,1050000.0
4,900.0,30,Ready to Move,1 out of 7,Semi-Furnished,2,3501.0,3150000.0
4,800.0,30,Ready to Move,Ground out of 1,Unfurnished,1,2750.0,2200000.0
4,1260.0,30,Ready to Move,9 out of 9,Furnished,Freehold,3968.0,5000000.0
4,500.0,30,Ready to Move,4 out of 4,Semi-Furnished,1,3000.0,1500000.0
1,500.0,30,Ready to Move,3 out of 4,Unfurnished,West,2500.0,2250000.0
1,650.0,30,Ready to Move,4 out of 4,Semi-Furnished,Main Road,33081.0,2050000.0
2,498.0,14,Freehold,Resale,1,No,3012.0,1500000.0
1,770.0,30,Ready to Move,5 out of 14,Unfurnished,Main Road,3532.0,2720000.0
4,432.0,30,Ready to Move,2 out of 2,Furnished,2,11574.0,5000000.0
1,800.0,15,Ready to Move,Resale,2,4,3250.0,2600000.0
1,551.0,30,Ready to Move,2 out of 5,Semi-Furnished,1,2632.0,1450000.0
4,1300.0,30,Ready to Move,3 out of 5,Semi-Furnished,East,3462.0,4500000.0
4,1050.0,30,Ready to Move,2 out of 6,Semi-Furnished,Main Road,2571.0,2700000.0
4,800.0,30,Ready to Move,2 out of 6,Unfurnished,1,2500.0,2000000.0
1,650.0,30,Ready to Move,3 out of 3,Semi-Furnished,East,,2200000.0
4,700.0,30,Ready to Move,3 out of 5,Furnished,1,3501.0,2450000.0
4,1200.0,30,Ready to Move,8 out of 8,Furnished,3,2917.0,3500000.0
4,700.0,30,Ready to Move,3 out of 3,Unfurnished,1,1071.0,750000.0
1,1540.0,31,Ready to Move,Resale,West,"Garden/Park, Main Road",2604.0,5000000.0
1,1260.0,31,Ready to Move,Resale,4,1,3571.0,4500000.0
4,576.0,31,Ready to Move,Resale,2,1,6076.0,3500000.0
4,900.0,30,Ready to Move,Ground out of 1,Unfurnished,West,1167.0,1050000.0
1,900.0,30,Ready to Move,1 out of 4,Semi-Furnished,South,,3800000.0
1,960.0,30,Ready to Move,2 out of 4,Furnished,1,2604.0,2500000.0
4,1250.0,30,Ready to Move,1 out of 4,Furnished,3,3200.0,4000000.0
1,625.0,23,Ready to Move,3 out of 3,Semi-Furnished,East,2857.0,2000000.0
1,900.0,23,Ready to Move,Ground out of 13,Semi-Furnished,East,2909.0,3200000.0
1,635.0,30,Ready to Move,1 out of 5,Furnished,North - East,2834.0,2800000.0
4,600.0,30,Ready to Move,3 out of 8,Furnished,South - East,3000.0,1800000.0
1,960.0,30,Ready to Move,1 out of 3,Semi-Furnished,2,4167.0,5000000.0
4,960.0,30,Ready to Move,4 out of 4,Unfurnished,East,2708.0,2600000.0
1,1050.0,30,Ready to Move,8 out of 9,Furnished,East,4234.0,2900000.0
1,315.0,23,Ready to Move,Ground out of 1,Unfurnished,East,11111.0,3500000.0
1,900.0,30,Ready to Move,1 out of 2,Unfurnished,South,2273.0,2500000.0
4,1100.0,30,Ready to Move,6 out of 8,Semi-Furnished,2,4091.0,4500000.0
4,555.0,30,Ready to Move,3 out of 4,Unfurnished,North - East,1532.0,850000.0
4,625.0,30,Ready to Move,3 out of 5,Unfurnished,1,2720.0,1700000.0
4,1275.0,30,Ready to Move,5 out of 6,Furnished,2,3137.0,4000000.0
4,400.0,30,Ready to Move,9 out of 9,Furnished,East,2500.0,1000000.0
4,268.0,30,Ready to Move,Ground out of 5,,,6903.0,1850000.0
4,640.0,30,Ready to Move,Ground out of 3,Unfurnished,2,3125.0,2000000.0
2,720.0,37,Resale,2,,,1944.0,1400000.0
4,730.0,35,2 out of 4,Resale,East,1,1918.0,1400000.0
1,476.0,30,Ready to Move,1 out of 4,1,,7292.0,3500000.0
2,5364.0,0,Co-operative Society,Resale,No,,28.0,150000.0
1,600.0,30,Ready to Move,5 out of 5,Unfurnished,North,,2000000.0
2,700.0,3,54 X 15,Resale,2,10 m,2143.0,1500000.0
4,400.0,30,Ready to Move,Ground out of 4,,,10500.0,4200000.0
4,1000.0,30,Ready to Move,3 out of 4,Unfurnished,2,3800.0,3800000.0
4,700.0,30,Ready to Move,2 out of 3,Semi-Furnished,1 Covered,3143.0,2200000.0
4,1252.0,30,Ready to Move,3 out of 14,Semi-Furnished,2,2955.0,3700000.0
4,925.0,30,Ready to Move,3 out of 5,Semi-Furnished,1,2486.0,2300000.0
1,900.0,30,Ready to Move,4 out of 4,Semi-Furnished,2,3000.0,2700000.0
2,1360.0,38,Resale,Yes,,,2574.0,3500000.0
4,550.0,30,Ready to Move,1 out of 4,Unfurnished,1,2000.0,1100000.0
1,935.0,30,Ready to Move,Ground out of 4,Semi-Furnished,1,,3500000.0
4,1100.0,30,Ready to Move,3 out of 5,Unfurnished,2,3182.0,3500000.0
4,900.0,30,Ready to Move,1 out of 3,Semi-Furnished,1,2667.0,2400000.0
1,486.0,30,Ready to Move,8 out of 14,Unfurnished,East,2533.0,1900000.0
1,1100.0,30,Ready to Move,5 out of 5,Semi-Furnished,North,,
1,366.0,30,Ready to Move,2 out of 8,Unfurnished,Co-operative Society,,
1,820.0,30,Ready to Move,4 out of 9,Furnished,West,,
4,760.0,30,Ready to Move,1 out of 1,Unfurnished,East,,
1,1000.0,30,Ready to Move,2 out of 3,Semi-Furnished,1,,
4,336.0,30,Ready to Move,3 out of 3,Semi-Furnished,1,,
1,950.0,30,Ready to Move,3 out of 3,Unfurnished,Main Road,,
4,1000.0,30,Ready to Move,4 out of 6,Semi-Furnished,2,,
4,510.0,30,Ready to Move,2 out of 4,Unfurnished,1,,
1,635.0,30,Ready to Move,4 out of 4,Furnished,East,,
1,960.0,30,Ready to Move,1 out of 4,Unfurnished,East,,
1,958.0,30,Ready to Move,2 out of 6,Semi-Furnished,North - East,,
1,700.0,30,Ready to Move,4 out of 4,Semi-Furnished,1,,
4,900.0,30,Ready to Move,3 out of 5,Unfurnished,2,,
4,400.0,30,Ready to Move,3 out of 5,Unfurnished,1,,
1,700.0,30,Ready to Move,5 out of 5,Semi-Furnished,1,,
2,69970.0,24,Resale,3,,,,
4,1180.0,30,Ready to Move,4 out of 6,Unfurnished,2,,
4,1056.0,30,Ready to Move,3 out of 5,Unfurnished,2,,
4,1095.0,30,Ready to Move,8 out of 13,Semi-Furnished,2,,
4,1150.0,30,Ready to Move,3 out of 3,Unfurnished,Garden/Park,,
4,350.0,30,Ready to Move,2 out of 5,Unfurnished,1,,
4,860.0,30,Ready to Move,4 out of 4,Semi-Furnished,2,,
4,700.0,30,Ready to Move,Ground out of 4,Unfurnished,East,,
1,1000.0,30,Ready to Move,4 out of 4,Unfurnished,2,,
4,1100.0,30,Ready to Move,2 out of 5,Unfurnished,MD Om Palace,,
2,8400000.0,38,New Property,,,,,
1,700.0,30,Ready to Move,1 out of 4,Unfurnished,1,,
1,850.0,30,Ready to Move,4 out of 5,Unfurnished,2,,
1,645.0,23,Ready to Move,14 out of 14,Unfurnished,West,,
4,715.0,30,Ready to Move,4 out of 5,Unfurnished,1,,
1,1000.0,30,Ready to Move,4 out of 5,Semi-Furnished,West,,
1,700.0,30,Ready to Move,2 out of 2,Unfurnished,East,,
4,400.0,30,Ready to Move,3 out of 5,Semi-Furnished,1,,
4,1200.0,30,Ready to Move,2 out of 5,2,,,
1,900.0,35,Ready to Move,2 out of 5,1,,,
1,1050.0,30,Ready to Move,2 out of 5,Unfurnished,East,,
1,975.0,30,Ready to Move,3 out of 6,Unfurnished,Main Road,,
1,400.0,30,Ready to Move,3 out of 5,Unfurnished,North - East,,
1,522.0,30,Ready to Move,1 out of 3,Unfurnished,South - East,,
1,500.0,30,Ready to Move,1 out of 5,Semi-Furnished,1,,
1,1000.0,27,Ready to Move,1 out of 7,Semi-Furnished,2,,
4,5400.0,38,Resale,The Polaris Avenue,,,,
4,550.0,30,Ready to Move,9 out of 11,Unfurnished,1,,
4,700.0,30,Ready to Move,4 out of 4,Furnished,East,,
4,1400.0,30,Ready to Move,4 out of 5,Unfurnished,3,,
4,615.0,30,Ready to Move,3 out of 3,Unfurnished,1,,
1,961.0,30,Ready to Move,3 out of 5,Semi-Furnished,Global City,,
4,550.0,30,Ready to Move,3 out of 5,Unfurnished,1,,
4,1104.0,30,Ready to Move,5 out of 6,Unfurnished,2,,
4,1000.0,30,Ready to Move,3 out of 6,Unfurnished,2,,
4,750.0,30,Ready to Move,2 out of 10,Unfurnished,2,,
4,602.0,30,Ready to Move,3 out of 6,Unfurnished,1,,
1,427.0,30,Ready to Move,5 out of 5,Unfurnished,"Garden/Park, Main Road",,
4,1197.0,30,Ready to Move,3 out of 5,Unfurnished,2,,
1,750.0,30,Ready to Move,5 out of 5,Unfurnished,"Garden/Park, Main Road",,
1,700.0,30,Ready to Move,3 out of 8,Semi-Furnished,East,,
4,1000.0,30,Ready to Move,10 out of 14,Unfurnished,2,,
1,650.0,30,Ready to Move,2 out of 3,Semi-Furnished,1,,
4,1225.0,30,Ready to Move,1 out of 5,Unfurnished,Maa Krupa Residency Society,,
1,650.0,30,Ready to Move,5 out of 5,Semi-Furnished,3,,
4,900.0,30,Ready to Move,2 out of 5,Unfurnished,2,,
4,900.0,30,Ready to Move,3 out of 5,Semi-Furnished,2,,
1,450.0,35,Ready to Move,2 out of 5,1,,,
1,645.0,30,Ready to Move,3 out of 5,Furnished,1,,
1,450.0,30,Ready to Move,1 out of 5,Unfurnished,"Garden/Park, Main Road",,
1,1037.0,30,Ready to Move,3 out of 5,Semi-Furnished,2,,
4,550.0,30,Ready to Move,2 out of 5,Unfurnished,1,,
4,1000.0,30,Ready to Move,3 out of 4,Semi-Furnished,1 Covered,,
4,800.0,30,Ready to Move,4 out of 5,Unfurnished,1,,
1,684.0,30,Ready to Move,Ground out of 5,Unfurnished,1,,
4,650.0,30,Ready to Move,2 out of 4,Unfurnished,1,,
1,845.0,30,Ready to Move,4 out of 11,Semi-Furnished,East,,
1,396.0,30,Ready to Move,4 out of 5,Semi-Furnished,"Pool, Garden/Park, Main Road",,
4,108900.0,30,Ready to Move,Upper Basement out of 1,Furnished,1,,
4,600.0,30,Ready to Move,5 out of 5,Unfurnished,1,,
1,425.0,30,Ready to Move,2 out of 5,Unfurnished,North,,
1,1160.0,30,Ready to Move,1 out of 5,Unfurnished,Garden/Park,,
4,,38,Ready to Move,Resale,,,,
4,603.0,30,Ready to Move,1 out of 5,Unfurnished,Man Sarovar Residency and Plaza,,
1,650.0,30,Ready to Move,5 out of 13,Unfurnished,Bella Casaa,,
4,1000.0,30,Ready to Move,2 out of 3,Semi-Furnished,2,,
1,400.0,23,Ready to Move,2 out of 5,Semi-Furnished,East,,
4,900.0,30,Ready to Move,1 out of 9,Semi-Furnished,1,,
4,1010.0,30,Ready to Move,2 out of 5,Semi-Furnished,2,,
1,690.0,30,Ready to Move,3 out of 4,Semi-Furnished,1,,
4,1250.0,30,Ready to Move,4 out of 4,Unfurnished,1 Covered,,
1,1175.0,30,Ready to Move,4 out of 5,Unfurnished,East,,
4,703.0,30,Ready to Move,1 out of 6,Unfurnished,1,,
4,1200.0,30,Ready to Move,6 out of 7,Furnished,South -West,,
1,500.0,30,Ready to Move,Lower Basement out of 2,Furnished,1,,
4,600.0,30,Ready to Move,4 out of 6,Semi-Furnished,1 Covered,,
1,611.0,30,Ready to Move,2 out of 5,Unfurnished,Man Sarovar Residency and Plaza,,
1,480.0,30,Ready to Move,3 out of 5,Unfurnished,North - West,,
4,520.0,30,Ready to Move,1 out of 5,Unfurnished,Shree Tirupati Balaji Town,,
4,1200.0,30,Ready to Move,3 out of 5,Unfurnished,2,,
4,1360.0,30,Ready to Move,4 out of 5,Unfurnished,Raj Abhishek City Homes,,
1,600.0,30,Ready to Move,3 out of 4,Unfurnished,1,,
4,500.0,30,Ready to Move,2 out of 5,Unfurnished,1,,
4,357.0,30,Ready to Move,3 out of 4,Unfurnished,East,,
1,1150.0,35,Ready to Move,3 out of 10,2,,,
4,1180.0,30,Ready to Move,12 out of 13,Semi-Furnished,2 Covered,,
1,1100.0,30,Ready to Move,2 out of 3,Semi-Furnished,2,,
4,1100.0,30,Ready to Move,2 out of 5,Furnished,1,,
4,606.0,1,Resale,Unfurnished,1,1,,
4,726.0,30,Ready to Move,3 out of 6,Unfurnished,1,,
2,432.0,0,Resale,Congo,No,,,
1,800.0,30,Ready to Move,3 out of 3,Semi-Furnished,Aagam Navkar,,
1,1000.0,30,Ready to Move,3 out of 3,Unfurnished,1,,
4,400.0,30,Ready to Move,4 out of 5,Unfurnished,1,,
4,750.0,30,Ready to Move,1 out of 5,Unfurnished,1,,
4,775.0,30,Ready to Move,2 out of 4,Unfurnished,1,,
4,450.0,30,Ready to Move,2 out of 3,Unfurnished,1,,
4,1000.0,30,Ready to Move,1 out of 5,Unfurnished,2,,
1,650.0,31,Ready to Move,3 out of 5,1,,,
4,13777.792,30,Ready to Move,11 out of 13,Unfurnished,2,,
4,550.0,30,Ready to Move,1 out of 5,Unfurnished,1,,
4,1011.0,30,Ready to Move,4 out of 6,Unfurnished,Omkar Residency,,
1,999.0,30,Ready to Move,7 out of 13,Semi-Furnished,North - East,,
4,1102.0,30,Ready to Move,4 out of 5,Unfurnished,2,,
4,750.0,30,Ready to Move,7 out of 7,Semi-Furnished,Nova Complex,,
4,647.0,30,Ready to Move,3 out of 4,Unfurnished,1,,
1,1200.0,30,Ready to Move,4 out of 4,Unfurnished,2,,
4,1500.0,30,Ready to Move,7 out of 10,Furnished,3,,
4,750.0,30,Ready to Move,2 out of 12,1,,,
4,740.0,30,Ready to Move,3 out of 5,Unfurnished,"Garden/Park, Main Road",,
4,500.0,30,Ready to Move,13 out of 14,Unfurnished,West,,
1,550.0,30,Ready to Move,5 out of 12,Unfurnished,1,,
4,1300.0,30,Ready to Move,1 out of 4,Semi-Furnished,2,,
1,1.0,30,Ready to Move,1 out of 3,Unfurnished,North - East,,
1,760.0,23,Poss. by Oct '24,8 out of 10,Unfurnished,West,2878.0,3970000.000000001
0,3150.0,38,Resale,,,,1556.0,4900000.0
4,1280.0,23,Poss. by Jan '26,7 out of 14,Unfurnished,East,3411.0,4370000.0
1,700.0,23,Poss. by Jun '24,6 out of 14,Unfurnished,East,3739.0,4300000.0
4,1185.0,23,Ready to Move,5 out of 14,Unfurnished,East,3784.0,4480000.0
4,1350.0,35,Poss. by Dec '25,New Property,Anand Aspire,2,3411.0,4610000.0
4,1735.0,30,Poss. by May '26,7 out of 14,Unfurnished,East,2854.0,4950000.0
1,2000.0,30,Ready to Move,5 out of 6,"2 Covered,",1,100.0,200000.0
4,1251.0,26,New Property,Unfurnished,2,2,3751.0,4690000.0
1,424.0,23,Poss. by Dec '25,5 out of 14,Unfurnished,East,3507.0,2850000.0
1,734.0,23,Poss. by Dec '26,6 out of 12,Unfurnished,East,3371.0,4500000.0
4,810.0,23,Poss. by Oct '24,4 out of 7,Unfurnished,North - East,2444.0,1980000.0
4,648.0,23,Ready to Move,Ground out of 1,Unfurnished,East,3009.0,1950000.0
1,1150.0,30,Ready to Move,4 out of 5,Unfurnished,East,2750.0,4400000.0
1,691.0,35,Ready to Move,New Property,East,Main Road,3999.0,4610000.0
4,1248.0,23,Poss. by Dec '24,9 out of 14,Unfurnished,South -West,4006.0,5000000.0
1,1100.0,35,Poss. by Jul '24,New Property,East,Freehold,2446.0,2690000.0
4,750.0,30,Ready to Move,1 out of 5,Unfurnished,South - East,2881.0,2160000.0
4,1168.0,23,Ready to Move,5 out of 12,Unfurnished,East,3682.0,4300000.0
4,1180.0,23,Ready to Move,6 out of 13,Unfurnished,East,3700.0,4370000.0
4,1305.0,23,Ready to Move,5 out of 14,Unfurnished,South - East,3678.0,4800000.0
1,850.0,30,Ready to Move,5 out of 5,Unfurnished,East,3750.0,4500000.0
1,688.0,23,Poss. by Jul '24,7 out of 14,Unfurnished,East,3600.0,4500000.0
4,1191.0,30,Ready to Move,3 out of 5,Semi-Furnished,North - East,2847.0,3390000.0
1,477.0,35,Ready to Move,Resale,East,"Garden/Park, Main Road",3648.0,1750000.0
2,1197.0,30,21 X 57,Freehold,Congo,1,2900.0,3470000.0000000005
4,1127.0,30,Poss. by Jul '24,4 out of 19,Unfurnished,East,3949.0,4450000.0
4,1203.0,30,Ready to Move,10 out of 13,Unfurnished,South -West,3534.0,4250000.0
4,688.0,30,Ready to Move,2 out of 6,1 Open,2,6541.0,4500000.0
1,1233.0,23,Ready to Move,7 out of 14,Unfurnished,East,3350.0,4130000.0
1,861.112,30,Ready to Move,2 out of 12,Unfurnished,3,,3600000.0
1,700.0,23,Ready to Move,9 out of 14,Unfurnished,North,3692.0,4800000.0
4,1200.0,30,Ready to Move,3 out of 5,Unfurnished,East,4167.0,5000000.0
1,1100.0,30,Ready to Move,2 out of 5,Semi-Furnished,East,,4000000.0
4,1205.0,30,Ready to Move,3 out of 5,Unfurnished,East,3900.0,4700000.0
1,1075.0,30,Ready to Move,5 out of 5,Unfurnished,East,4465.0,4800000.0
4,1175.0,30,Ready to Move,2 out of 12,Furnished,East,3574.0,4200000.0
1,750.0,30,Ready to Move,9 out of 14,Semi-Furnished,East,3732.0,4850000.0
4,1100.0,30,Ready to Move,5 out of 13,Unfurnished,South -West,2909.0,3200000.0
4,1100.0,30,Ready to Move,3 out of 7,Unfurnished,South,3455.0,3800000.0
1,950.0,30,Ready to Move,10 out of 13,Furnished,East,2069.0,3000000.0
1,925.0,30,Ready to Move,3 out of 4,Semi-Furnished,South - East,2256.0,2200000.0
1,700.0,30,Ready to Move,4 out of 5,Semi-Furnished,East,3182.0,3500000.0
4,650.0,38,Ready to Move,Resale,,,2154.0,1400000.0
4,2000.0,35,Ready to Move,Resale,3,,1600.0,3200000.0
1,800.0,35,Ready to Move,Resale,2,,3412.0,2900000.0
4,350.0,30,Ready to Move,2 out of 7,Unfurnished,East,3429.0,1200000.0
1,600.0,30,Ready to Move,1 out of 1,Unfurnished,East,3542.0,4250000.0
4,1100.0,30,Ready to Move,Ground out of 4,Furnished,East,2636.0,2900000.0
1,1050.0,30,Ready to Move,2 out of 5,Unfurnished,South -West,3502.0,4500000.0
4,1200.0,30,Ready to Move,4 out of 7,Unfurnished,East,3750.0,4500000.0
1,800.0,30,Ready to Move,8 out of 13,Unfurnished,North,3250.0,2600000.0
4,1384.0,23,Ready to Move,6 out of 13,Unfurnished,East,3512.0,4860000.0
1,610.0,30,Ready to Move,8 out of 14,Unfurnished,2,3423.0,3800000.0
1,400.0,30,Ready to Move,5 out of 13,Semi-Furnished,South -West,3615.0,2750000.0
4,1320.0,30,Ready to Move,6 out of 13,Unfurnished,East,3561.0,4700000.0
1,102.0,30,Ready to Move,Ground out of 4,,,15842.0,3200000.0
2,420.0,5,Power Of Attorney,Resale,1,25 m,4286.0,1800000.0
1,550.0,30,Ready to Move,4 out of 5,Unfurnished,Garden/Park,,1450000.0
4,1252.0,30,Ready to Move,11 out of 14,Unfurnished,Swagat Clifton,3994.0,5000000.0
4,1170.0,30,Ready to Move,5 out of 5,Unfurnished,2,2522.0,2950000.0
1,1080.0,30,Ready to Move,1 out of 2,Unfurnished,North,3796.0,4100000.0
4,1151.0,30,Ready to Move,4 out of 5,Unfurnished,1 Covered,,
1,1150.0,30,Ready to Move,6 out of 7,Unfurnished,Amber Palace,3043.0,3500000.0
4,1138.0,35,Poss. by Jun '24,New Property,Prayosha Shine,2,,
4,675.0,30,Ready to Move,2 out of 10,Semi-Furnished,East,2963.0,2000000.0
1,1050.0,30,Ready to Move,4 out of 4,Furnished,Main Road,3333.0,3500000.0
4,682.0,30,Ready to Move,2 out of 5,Unfurnished,North - East,2346.0,1600000.0
4,1250.0,30,Ready to Move,1 out of 4,Unfurnished,3,3200.0,4000000.0
4,550.0,30,Ready to Move,1 out of 4,Semi-Furnished,1,,
1,659.0,23,Ready to Move,8 out of 8,Unfurnished,East,2641.0,3000000.0
1,642.0,23,Ready to Move,5 out of 14,Unfurnished,East,3895.0,4550000.0
4,1278.0,23,Poss. by Jul '25,6 out of 14,Unfurnished,East,3861.0,4930000.0
4,1265.0,23,Poss. by May '25,7 out of 14,Unfurnished,South -West,3411.0,4310000.0
4,1251.0,23,Ready to Move,5 out of 14,Unfurnished,East,3800.0,4750000.0
4,1360.0,35,Poss. by Dec '25,New Property,Anand Aspire,2,3411.0,4640000.0
4,1275.0,30,Poss. by May '26,5 out of 14,Unfurnished,East,2863.0,3650000.0
4,1305.0,23,Poss. by Aug '25,5 out of 10,"2 Covered,",2,3379.0,4410000.0
1,690.0,23,Ready to Move,10 out of 14,Unfurnished,East,3745.0,4700000.0
1,750.0,23,Poss. by Mar '26,14 out of 14,Unfurnished,"1 Covered,",3200.0,4220000.0
1,660.0,23,Poss. by Jun '26,5 out of 14,Unfurnished,East,3083.0,3700000.0
1,1050.0,35,Poss. by May '25,Resale,North - East,"Garden/Park, Main Road",6688.0,3450000.0
4,864.0,23,Ready to Move,Ground out of 1,Unfurnished,West,3125.0,2700000.0
1,425.0,23,Ready to Move,8 out of 13,Unfurnished,East,3659.0,2820000.0
1,662.0,35,Poss. by Nov '24,New Property,East,Main Road,3551.0,4280000.0
4,1241.0,23,Poss. by Dec '24,5 out of 14,Unfurnished,South -West,3651.0,4530000.0
1,1000.0,35,Poss. by Jul '24,New Property,East,Freehold,1851.0,1850000.0
4,1252.0,30,Ready to Move,5 out of 15,Unfurnished,South - East,3514.0,4400000.0
1,680.0,23,Ready to Move,5 out of 13,Unfurnished,Freehold,3951.0,4880000.0
4,1300.0,30,Ready to Move,5 out of 13,Furnished,East,3846.0,5000000.0
4,1252.0,23,Ready to Move,7 out of 12,Unfurnished,East,3994.0,5000000.0
4,1205.0,23,Ready to Move,5 out of 13,Unfurnished,East,2851.0,3440000.0
1,723.0,23,Ready to Move,7 out of 13,Unfurnished,South - East,3451.0,4380000.0
4,1245.0,30,Ready to Move,2 out of 5,Semi-Furnished,North - East,2811.0,3500000.0
1,1200.0,30,Ready to Move,Ground out of 1,Unfurnished,East,2412.0,3050000.0
2,1485.0,30,26.7 X 55.6,Freehold,2,2,2257.0,3350000.0
4,1127.0,30,Poss. by Jul '24,15 out of 19,Unfurnished,East,3914.0,4410000.0
4,1246.0,30,Ready to Move,5 out of 13,Furnished,East,4013.0,5000000.0
4,380.0,30,Ready to Move,3 out of 10,Unfurnished,Main Road,2500.0,950000.0
4,1140.0,30,Ready to Move,1 out of 5,Unfurnished,South -West,3684.0,4200000.0
1,800.0,30,Ready to Move,5 out of 12,Unfurnished,North,3435.0,4500000.0
4,1360.0,23,Poss. by Jun '25,3 out of 13,Unfurnished,East,3309.0,4500000.0
4,1205.0,30,Ready to Move,4 out of 5,Semi-Furnished,East,3734.0,4500000.0
1,675.0,30,Ready to Move,6 out of 14,Unfurnished,East,3759.0,3800000.0
4,750.0,30,Ready to Move,6 out of 12,Unfurnished,East,3333.0,2500000.0
1,780.0,30,Ready to Move,6 out of 10,Furnished,East,3837.0,4800000.0
4,1051.0,30,Ready to Move,4 out of 12,Furnished,East,3996.0,4200000.0
1,183.0,30,Ready to Move,4 out of 4,1,,5946.0,2200000.0
4,1200.0,23,Poss. by Mar '25,8 out of 14,Unfurnished,North - East,3000.0,3600000.0
4,925.0,30,Ready to Move,3 out of 4,Unfurnished,North - East,2378.0,2200000.0
4,1084.0,30,Ready to Move,1 out of 5,Vaishnodevi Ideal Homes,2,2860.0,3100000.0
1,650.0,31,Ready to Move,4 out of 4,1,,,1400000.0
2,648.0,24,Resale,3,,,1080.0,700000.0
4,1505.0,30,Ready to Move,8 out of 13,Unfurnished,North - East,3189.0,4800000.0
1,1150.0,30,Ready to Move,3 out of 5,Semi-Furnished,South -West,3477.0,4450000.0
4,735.0,30,Ready to Move,5 out of 14,Unfurnished,East,3743.0,2750000.0
1,800.0,23,Poss. by Jul '24,5 out of 13,Unfurnished,Garden/Park,2868.0,3800000.0
4,750.0,30,Ready to Move,5 out of 13,Semi-Furnished,South -West,3067.0,2300000.0
4,1441.0,35,Poss. by Jun '24,New Property,Prayosha Shine,3,,
4,682.0,30,Ready to Move,2 out of 5,Unfurnished,1,,
1,688.0,23,Ready to Move,8 out of 8,Unfurnished,East,2700.0,3200000.0
4,1215.0,23,Poss. by Sep '25,6 out of 14,Unfurnished,East,3991.0,4850000.0
4,1250.0,23,Ready to Move,6 out of 14,Unfurnished,East,3535.0,4420000.0
4,1280.0,35,Poss. by Dec '25,New Property,Anand Aspire,2,3411.0,4370000.0
1,912.0,35,Poss. by Oct '24,New Property,East,"Pool, Garden/Park, Main Road",,3400000.0
2,820.0,23,41 X 20,Co-operative Society,3,2,5879.0,4820000.0
1,725.0,23,Ready to Move,3 out of 14,Unfurnished,West,3751.0,4690000.0
1,852.0,23,Poss. by May '26,5 out of 14,Unfurnished,East,3206.0,4970000.0
4,1170.0,23,Poss. by Jan '25,4 out of 11,Unfurnished,East,2691.0,3150000.0
4,450.0,23,Ready to Move,Ground out of 1,Unfurnished,East,2889.0,1300000.0
1,421.0,23,Ready to Move,14 out of 14,Unfurnished,East,3846.0,2950000.0
1,670.0,35,Ready to Move,New Property,East,Main Road,3951.0,4780000.0
4,1280.0,23,Poss. by Apr '26,7 out of 14,Unfurnished,South -West,3251.0,4160000.0
1,1600.0,35,Poss. by Aug '24,New Property,East,Freehold,2601.0,4160000.0
1,702.0,23,Poss. by Jan '25,5 out of 14,Unfurnished,North - West,,
4,1240.0,23,Ready to Move,9 out of 14,Unfurnished,South - East,3629.0,4500000.0
4,1050.0,30,Ready to Move,4 out of 6,Unfurnished,East,3143.0,3300000.0
4,1155.0,30,Ready to Move,7 out of 13,Semi-Furnished,North - East,3290.0,3800000.0
4,999.0,35,Poss. by Jul '25,New Property,East,"Garden/Park, Main Road",3855.0,3850000.0
2,1197.0,30,21 X 57,Freehold,2,1,2891.0,3460000.0
4,1275.0,35,5 out of 13,New Property,East,Garden/Park,3851.0,4910000.0
1,865.0,30,Ready to Move,9 out of 12,Unfurnished,East,2646.0,3529999.9999999995
4,620.0,23,Ready to Move,7 out of 9,1 Covered,1,7258.0,4500000.0
4,1127.0,23,Poss. by Nov '24,7 out of 19,Unfurnished,East,4000.0,4510000.0
1,707.0,30,Ready to Move,8 out of 13,Unfurnished,East,3616.0,4410000.0
1,1200.0,30,Ready to Move,2 out of 14,Unfurnished,East,,3500000.0
4,1248.0,30,Ready to Move,5 out of 11,Furnished,East,3926.0,4900000.0
1,400.0,30,Ready to Move,7 out of 13,Furnished,East,4000.0,3000000.0
4,720.0,15,Ready to Move,New Property,East,"Garden/Park, Main Road",4861.0,3500000.0
1,1500.0,23,Ready to Move,Ground out of 2,Unfurnished,East,2947.0,4420000.0
1,1285.0,30,Ready to Move,10 out of 10,Unfurnished,East,3268.0,4200000.0
1,1000.0,30,Ready to Move,5 out of 7,Semi-Furnished,North,,4000000.0
1,950.0,30,Ready to Move,10 out of 13,Furnished,East,1621.0,2350000.0
4,1084.0,30,Ready to Move,2 out of 5,Semi-Furnished,Vaishnodevi Ideal Homes,2768.0,3000000.0
4,1201.0,30,Ready to Move,6 out of 13,Unfurnished,West,3164.0,3800000.0
1,975.0,30,Poss. by Dec '24,9 out of 13,Unfurnished,South -West,3843.0,4900000.0
4,1127.0,23,Ready to Move,10 out of 19,Unfurnished,East,3683.0,4150000.0
1,680.0,23,Ready to Move,4 out of 14,Unfurnished,East,3600.0,4500000.0
4,750.0,30,Ready to Move,5 out of 13,Unfurnished,East,3333.0,2500000.0
4,1171.0,35,Poss. by Jun '24,New Property,Prayosha Shine,2,,
1,570.0,23,Ready to Move,8 out of 8,Unfurnished,East,2689.0,2640000.0
4,1204.0,23,Poss. by Jan '26,7 out of 14,Unfurnished,East,3838.0,4620000.0
