facing,price_per_sqft,BHK,Location,area_type,area_sqft,transaction_type,ready_to_move,furnishing_level,price_rs
12,4251.0,2.0,Palanpur Surat,2,1035.0,2,1,0,4400000.0
154,2787.0,2.0,Rustampura Surat,1,945.0,2,1,0,3400000.0
0,2667.0,1.0,Sayan Surat,2,600.0,0,1,0,1600000.0
173,2160.0,3.0,Navagam Surat,1,1200.0,2,1,0,2700000.0
54,2917.0,2.0,Adajan Surat,2,1200.0,2,1,0,3500000.0
83,3030.0,1.0,Amroli Surat,2,660.0,2,1,0,2000000.0
54,2436.0,2.0,Amroli Surat,1,580.0,2,1,0,1900000.0
-1,2704.0,2.0,Pavitra residency Surat,2,1165.0,0,1,0,3150000.0
0,1000.0,1.0,Bhestan Surat,2,850.0,2,1,0,850000.0
54,1220.0,2.0,Pasodara Surat,2,861.0,2,1,0,1050000.0
0,2500.0,1.0,Velanja Surat,2,440.0,2,1,0,1100000.0
-1,4500.0,2.0,Bardoli Surat,2,1000.0,0,0,0,4500000.0
0,2129.0,1.0,Amroli Surat,2,775.0,2,1,1,1650000.0
12,2857.0,3.0,Gopi Pura Surat,2,1050.0,2,1,0,3000000.0
0,2378.0,2.0,Katar Gam Surat,2,925.0,2,1,0,2200000.0
156,3248.0,2.0,Adajan Surat,2,1170.0,1,1,0,3800000.0
-1,2154.0,1.0,Pandesara Surat,2,650.0,0,1,0,1400000.0
56,3600.0,2.0,ashok vatika Surat,1,490.0,0,1,0,1800000.0
19,1675.0,3.0,Palsana Surat,2,2000.0,2,1,0,3350000.0
12,4018.0,2.0,Palanpur Surat,2,1120.0,2,1,0,4500000.0
12,3093.0,2.0,Adajan Surat,2,970.0,2,1,1,3000000.0
0,2933.0,1.0,Minaxi Wadi Surat,2,750.0,2,1,1,2200000.0
-1,5556.0,2.0,Kamrej Surat,2,90.0,0,1,0,4500000.0
12,3051.0,2.0,Godadara Surat,1,650.0,1,1,0,3600000.0
59,2735.0,1.0,Surat,2,750.0,2,1,0,2050000.0
0,2947.0,2.0,Rander Road Surat,2,950.0,2,1,1,2800000.0
1,3086.0,2.0,Jolva Surat,2,648.0,2,1,0,2000000.0
12,2812.0,2.0,Kim Surat,2,480.0,2,1,0,1350000.0
0,2857.0,1.0,Surat City Surat,1,410.0,2,1,0,2000000.0
-1,2347.0,2.0,Dindoli Surat,2,925.0,0,1,0,2170000.0
12,3191.0,2.0,Vrundavan Residency Nr Avirbhav Society Surat,2,862.0,2,1,1,2750000.0
12,4500.0,2.0,Olpad Sayan Road Surat,2,600.0,2,1,0,2700000.0
54,3917.0,2.0,Umra Surat,2,1200.0,2,1,0,4700000.0
